timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
0,T_25077825168,S_150593877,0,http,USER,USER,MUqxQIe_3Z,MS_41019,MS_41019_POD_3,1990.0
0,T_25077825168,S_150593877,0.1,mc,MS_41019,MS_41019_POD_3,4Wn8ZAsjhS,MS_37691,MS_37691_POD_2393,1.0
1933,T_25077825168,S_150593877,0.2,rpc,MS_41019,MS_41019_POD_3,njKVUUapMO,MS_35050,MS_35050_POD_120,16.0
1935,T_25077825168,S_150593877,0.2,rpc,MS_41019,MS_41019_POD_3,njKVUUapMO,MS_35050,MS_35050_POD_120,14.0
1936,T_25077825168,S_150593877,0.2.1,rpc,MS_35050,MS_35050_POD_120,SuEMX7CaSI,MS_41516,MS_41516_POD_334,0.0
1937,T_25077825168,S_150593877,0.2.2,rpc,MS_35050,MS_35050_POD_120,ffVzuP6I-L,MS_41516,MS_41516_POD_1153,8.0
1945,T_25077825168,S_150593877,0.2.3,mc,MS_35050,MS_35050_POD_120,2ctK0GifON,MS_46825,MS_46825_POD_100,1.0
1946,T_25077825168,S_150593877,0.2.4,mc,MS_35050,MS_35050_POD_120,44k5XkoOxP,MS_46825,MS_46825_POD_428,0.0
1946,T_25077825168,S_150593877,0.2.5,mc,MS_35050,MS_35050_POD_120,0REcWWf5yJ,MS_46825,MS_46825_POD_529,1.0
1947,T_25077825168,S_150593877,0.2.6,mc,MS_35050,MS_35050_POD_120,44k5XkoOxP,MS_46825,MS_46825_POD_436,0.0
1947,T_25077825168,S_150593877,0.2.7,mc,MS_35050,MS_35050_POD_120,0REcWWf5yJ,MS_46825,MS_46825_POD_711,0.0
1949,T_25077825168,S_150593877,0.3,mc,MS_41019,MS_41019_POD_3,XPjNawkDWH,MS_37691,MS_37691_POD_2393,1.0
1950,T_25077825168,S_150593877,0.4,mc,MS_41019,MS_41019_POD_3,Xdnql_BZIr,MS_37691,MS_37691_POD_2393,0.0
1950,T_25077825168,S_150593877,0.5,mc,MS_41019,MS_41019_POD_3,50JLClZzxF,MS_37691,MS_37691_POD_2393,1.0
1951,T_25077825168,S_150593877,0.6,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1952,T_25077825168,S_150593877,0.7,db,MS_41019,MS_41019_POD_3,Pa0kcx-I_v:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1954,T_25077825168,S_150593877,0.9,db,MS_41019,MS_41019_POD_3,Pa0kcx-I_v:TDDL_UPDATE,MS_37786,MS_37786_POD_4,3.0
1954,T_25077825168,S_150593877,0.8,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1957,T_25077825168,S_150593877,0.10,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1957,T_25077825168,S_150593877,0.11,db,MS_41019,MS_41019_POD_3,OwCxvSszVr:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1959,T_25077825168,S_150593877,0.13,db,MS_41019,MS_41019_POD_3,fCTXzvMQXx:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1959,T_25077825168,S_150593877,0.12,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1961,T_25077825168,S_150593877,0.15,db,MS_41019,MS_41019_POD_3,jZIDJ8WHGr:TDDL_QUERY,MS_37786,MS_37786_POD_4,4.0
1961,T_25077825168,S_150593877,0.14,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1965,T_25077825168,S_150593877,0.16,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1966,T_25077825168,S_150593877,0.17,db,MS_41019,MS_41019_POD_3,Pa0kcx-I_v:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1968,T_25077825168,S_150593877,0.19,db,MS_41019,MS_41019_POD_3,RKBfvD4oSC:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1968,T_25077825168,S_150593877,0.18,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1969,T_25077825168,S_150593877,0.21,db,MS_41019,MS_41019_POD_3,OwCxvSszVr:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1969,T_25077825168,S_150593877,0.20,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1970,T_25077825168,S_150593877,0.22,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1971,T_25077825168,S_150593877,0.23,db,MS_41019,MS_41019_POD_3,fCTXzvMQXx:TDDL_QUERY,MS_37786,MS_37786_POD_4,0.0
1972,T_25077825168,S_150593877,0.25,db,MS_41019,MS_41019_POD_3,fCTXzvMQXx:TDDL_QUERY,MS_37786,MS_37786_POD_4,1.0
1972,T_25077825168,S_150593877,0.24,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1973,T_25077825168,S_150593877,0.26,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1974,T_25077825168,S_150593877,0.27,db,MS_41019,MS_41019_POD_3,fCTXzvMQXx:TDDL_UPDATE,MS_37786,MS_37786_POD_4,3.0
1977,T_25077825168,S_150593877,0.29,db,MS_41019,MS_41019_POD_3,Pa0kcx-I_v:TDDL_UPDATE,MS_37786,MS_37786_POD_4,1.0
1977,T_25077825168,S_150593877,0.28,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1978,T_25077825168,S_150593877,0.30,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1979,T_25077825168,S_150593877,0.31,db,MS_41019,MS_41019_POD_3,Pa0kcx-I_v:TDDL_QUERY,MS_37786,MS_37786_POD_4,0.0
1980,T_25077825168,S_150593877,0.32,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1980,T_25077825168,S_150593877,0.33,db,MS_41019,MS_41019_POD_3,OwCxvSszVr:TDDL_DELETE,MS_37786,MS_37786_POD_4,3.0
1983,T_25077825168,S_150593877,0.35,db,MS_41019,MS_41019_POD_3,OwCxvSszVr:TDDL_DELETE,MS_37786,MS_37786_POD_4,1.0
1983,T_25077825168,S_150593877,0.34,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1984,T_25077825168,S_150593877,0.36,db,MS_41019,MS_41019_POD_3,mJxUT-THwr,MS_27421,UNKNOWN,0.0
1984,T_25077825168,S_150593877,0.37,db,MS_41019,MS_41019_POD_3,OwCxvSszVr:TDDL_INSERT,MS_37786,MS_37786_POD_4,2.0
1987,T_25077825168,S_150593877,0.38,mq,MS_41019,MS_41019_POD_3,pcy_MxDQLF,MS_60386,MS_60386_POD_19,1.0
1988,T_25077825168,S_150593877,0.39,mc,MS_41019,MS_41019_POD_3,PddPNyxbBp,MS_37691,MS_37691_POD_2393,1.0
1989,T_25077825168,S_150593877,0.41,mc,MS_41019,MS_41019_POD_3,50JLClZzxF,MS_37691,MS_37691_POD_2393,1.0
1989,T_25077825168,S_150593877,0.40,mc,MS_41019,MS_41019_POD_3,Xdnql_BZIr,MS_37691,MS_37691_POD_2393,0.0
1990,T_25077825168,S_150593877,0.42,mc,MS_41019,MS_41019_POD_3,4pTDBg-5rm,MS_37691,MS_37691_POD_2393,0.0
2165,T_25077825168,S_150593877,0.38.1.3363356,mq,MS_60386,MS_60386_POD_19,mqgn2KfUp_,MS_41019,MS_41019_POD_16,0.0
